entity,category,CEDS_name,sdp_name,CEDS_Option_set,SDP_option_match
K12Student,Demographic,Birthdate,dob,YYYY-MM-DD,YYYY-MM-DD
K12Student,Demographic,White,white,Yes - Yes;No - No;NotSelected - Not Selected,1 - Yes;0 - No;NA - Not Selected
K12Student,Demographic,Asian,asian,Yes - Yes;No - No;NotSelected - Not Selected,1 - Yes;0 - No;NA - Not Selected
K12Student,Demographic,American Indian or Alaska Native,amerind,Yes - Yes;No - No;NotSelected - Not Selected,1 - Yes;0 - No;NA - Not Selected
K12Student,Demographic,Black or African American,black,Yes - Yes;No - No;NotSelected - Not Selected,1 - Yes;0 - No;NA - Not Selected
K12Student,Demographic,Hispanic or Latino Ethnicity,hispanic,Yes - Yes;No - No;NotSelected - Not Selected,1 - Yes;0 - No;NA - Not Selected
K12Student,Demographic,Demographic Race Two or More Races,multiracial,Yes - Yes;No - No;NotSelected - Not Selected,1 - Yes;0 - No;NA - Not Selected
K12Student,Demographic,Native Hawaiian or Other Pacific Islander,hawaiian_pi,Yes - Yes;No - No;NotSelected - Not Selected,1 - Yes;0 - No;NA - Not Selected
K12Student,Demographic,,other
K12Student,Limited English Proficiency,Limited English Proficiency Status,ell,Yes - Yes;No - No,1 - Yes;0 - No;NA - Not Selected
K12Student,Disability,Primary Disability Type,disab_type,AUT - Autism; DB - Deaf-blindness; DD - Developmental Delay; EMN - Emotional disturbance; HI - Hearing Impariment; ID - Intellectual Disability; MD - Multiple disabilities; OI - Orthopedic impairment; OHI - Other health impairment; SLD - Specific learning disability; SLI - Speech or language impairment; TBI - Traumatic brain injury; VI - Visual impairment
K12Student,Enrollment,Gifted and Talented Indicator,gifted,Yes - Yes; No - No; Unknown - Unknown,1 - Yes;0 - No;NA - Not Selected
K12Student,Economically Disadvantaged,Economic Disadvantage Status,frpl,Yes - Yes;No - No,1 - Yes;0 - No;NA - Not Selected
K12Student,Disability,IDEA Indicator,iep,Yes - Yes; No - No,1 - Yes;0 - No
K12Student,Identity,Student Identifier,sid,xxxx
K12Student,Demographic,Sex,sex,Male - Male;Female - Female;NotSelected - Not Selected
K12Student,Demographic,,age,,
K12Student,Enrollment,Entry Grade Level,grade_level,IT - Infant/toddler;PR - Preschool;PK - Prekindergarten;TK - Transitional Kindergarten;KG - Kindergarten;01 - First grade;02 - Second grade;03 - Third grade;04 - Fourth grade;05 - Fifth grade;06 - Sixth grade;07 - Seventh grade;08 - Eigth grade;09 - Ninth grade;10 - Tenth grade;11 - Eleventh grade;12 - Twelfth grade;13 - Grade 13;PS - Postsecondary;UG - Ungraded;Other - Other,-9 - Ungraded;-1 - Prekindergarten;-1 - Transitional Kindergarten;-1 - Preschool;0 - Kindergarten;1 - First grade;2 - Second grade;3 - Third grade;4 - Fourth grade;5 - Fifth grade;6 - Sixth grade;7 - Seventh grade;8 - Eigth grade;9 - Ninth grade;10 - Tenth grade;11 - Eleventh grade;12 - Twelfth grade;13 - Grade 13;13 - Postsecondary
