age,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,Total
0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,5
1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,10
2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,88
3,565,2,0,0,0,0,0,0,0,0,0,0,0,0,567
4,839,43,0,0,0,0,0,0,0,0,0,0,0,0,882
5,117,8627,75,1,0,0,0,0,0,0,0,0,0,0,8820
6,0,1120,8449,89,1,0,0,0,0,0,0,0,0,0,9659
7,0,12,1595,8098,97,0,0,0,0,0,0,0,0,0,9802
8,0,1,35,1872,7503,111,1,0,0,0,0,0,0,0,9523
9,0,1,2,65,2090,7338,139,0,0,0,0,0,0,0,9635
10,0,0,0,0,104,2193,7351,153,2,0,0,0,0,0,9803
11,0,0,0,0,0,153,2244,7092,166,1,0,0,0,1,9657
12,0,0,0,0,1,2,159,2384,6862,222,1,0,0,1,9632
13,0,0,0,0,0,0,1,211,2373,6583,267,0,0,2,9437
14,0,0,0,0,0,0,0,6,310,2388,6691,228,0,0,9623
15,0,0,0,0,0,0,0,0,5,299,3087,6127,233,7,9758
16,0,0,0,0,0,0,0,0,0,11,994,2743,5914,252,9914
17,0,0,0,0,0,0,0,0,0,0,283,791,2349,5777,9200
18,0,0,0,0,0,0,0,0,0,0,71,212,480,1942,2705
19,0,0,0,1,0,0,0,0,0,0,12,33,93,343,482
20,0,0,0,0,0,0,0,1,0,0,7,12,19,126,165
21,0,0,0,0,0,0,0,0,0,0,3,1,8,13,25
22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
