ope8_id,city,state,name,degrees_awarded_predominant,size,online_only,avg_net_price_pub,pell_grant_rate,retention_four_year_full_time,part_time_share,act_25th_pctl_cumulative,act_75th_pctl_cumulative,sat_average_all,sat_25th_pctl_math,sat_75th_pctl_math,sat_25th_pctl_reading,sat_75th_pctl_reading,sat_25th_pctl_writing,sat_75th_pctl_writing,race_ethn_white,race_ethn_black,race_ethn_hispanic,race_ethn_asian,race_ethn_two_or_more
100200,Normal,AL,Alabama A & M University,Predominantly bachelor's-degree granting,4051,0,13415,0.7115,0.6314,0.0622,15,19,823,350,450,370,450,NaN,NaN,0.0279,0.9501,0.0089,0.0022,0
105200,Birmingham,AL,University of Alabama at Birmingham,Predominantly bachelor's-degree granting,11200,0,14805,0.3505,0.8016,0.2579,22,28,1146,520,650,520,640,NaN,NaN,0.5987,0.259,0.0258,0.0518,0.0344
2503400,Montgomery,AL,Amridge University,Predominantly bachelor's-degree granting,322,0,NaN,0.6839,0.375,0.3727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2919,0.4224,0.0093,0.0031,0
105500,Huntsville,AL,University of Alabama in Huntsville,Predominantly bachelor's-degree granting,5525,0,17520,0.3281,0.8098,0.2395,23,29,1180,510,650,510,640,NaN,NaN,0.7012,0.131,0.0338,0.0364,0.0161
100500,Montgomery,AL,Alabama State University,Predominantly bachelor's-degree granting,5354,0,11936,0.8265,0.6219,0.0902,15,19,830,370,480,380,480,NaN,NaN,0.0161,0.9285,0.0114,0.0015,0.0064
105100,Tuscaloosa,AL,The University of Alabama,Predominantly bachelor's-degree granting,28692,0,20916,0.2107,0.87,0.0852,22,30,1171,500,640,490,620,480,600,0.7865,0.114,0.0313,0.0112,0.021
100700,Alexander City,AL,Central Alabama Community College,Predominantly associate's-degree granting,1779,0,6407,0.6515,NaN,0.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6785,0.2945,0.0118,0.0022,6e-4
100800,Athens,AL,Athens State University,Predominantly bachelor's-degree granting,2999,0,NaN,0.4107,NaN,0.5502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7513,0.1064,0.0213,0.0047,0.0133
831e3,Montgomery,AL,Auburn University at Montgomery,Predominantly bachelor's-degree granting,4322,0,11915,0.4006,0.6321,0.3061,18,23,970,NaN,NaN,NaN,NaN,NaN,NaN,0.5532,0.3031,0.0079,0.0245,0
100900,Auburn University,AL,Auburn University,Predominantly bachelor's-degree granting,19761,0,17541,0.1687,0.8946,0.0902,24,30,1215,540,650,520,620,510,620,0.8543,0.0714,0.0253,0.0213,0
101200,Birmingham,AL,Birmingham Southern College,Predominantly bachelor's-degree granting,1181,0,NaN,0.2136,0.8037,0.0119,23,29,1177,520,640,520,630,NaN,NaN,0.8103,0.094,0.0305,0.039,0.0076
1218200,Phenix City,AL,Chattahoochee Valley Community College,Predominantly associate's-degree granting,1769,0,1873,0.6116,NaN,0.4059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4675,0.4409,0.0379,0.0136,0.0107
