age,black,asian,hispanic,amerind,white,other,multiracial,hawaiian_pi,total
1,0.000,,0.000,,0.000,,,,
2,0.333,0.500,0.000,,0.158,,,,
3,0.000,0.000,0.000,,0.000,,,,
4,0.000,0.450,0.610,0.000,0.000,0.000,0.000,0.000,0.000
5,0.000,0.450,0.620,0.000,0.000,0.000,0.000,0.00,0.000
6,0.024,0.431,0.614,0.081,0.011,0.500,0.019,0.00,0.132
7,0.032,0.408,0.636,0.091,0.009,0.375,0.009,0.00,0.131
8,0.019,0.305,0.559,0.083,0.007,0.500,0.014,0,0.105
9,0.017,0.182,0.432,0.116,0.005,0.000,0.000,0,0.079
10,0.016,0.138,0.348,0.037,0.005,0.000,0.012,0,0.060
11,0.009,0.113,0.238,0.000,0.002,0.500,0.005,0,0.039
12,0.009,0.108,0.195,0.027,0.002,0.200,0.000,0,0.031
13,0.010,0.088,0.184,0.038,0.003,0.000,0.000,0,0.029
14,0.013,0.084,0.158,0.000,0.001,0.000,0.000,0,0.025
15,0.013,0.114,0.188,0.000,0.002,0.000,0.000,0,0.029
16,0.007,0.065,0.167,0.000,0.002,0.000,0.000,0,0.024
17,0.011,0.065,0.175,0.000,0.002,0.000,0.000,0,0.023
18,0.007,0.084,0.155,0.027,0.002,0.000,0.000,0,0.020
19,0.018,0.159,0.192,0.200,0.003,0.000,0.050,0,0.033
20,0.039,0.385,0.291,0.167,0.000,0.000,0.058,0,0,
21,0.071,0.625,0.222,0.500,0.000,1.000,0.000,0,0.088
22,0.000,0.000,0.143,0.000,0.000,,0.018,0,0,0,
